iter	Passed	Remaining
897	13211	16212
898	13225	16196
899	13242	16185
900	13257	16170
901	13271	16155
902	13285	16140
903	13299	16124
904	13313	16108
905	13327	16093
906	13342	16078
907	13356	16062
908	13370	16047
909	13385	16032
910	13401	16020
911	13417	16007
912	13432	15992
913	13446	15977
914	13461	15962
915	13476	15948
916	13491	15933
917	13505	15918
918	13520	15903
919	13534	15888
920	13550	15875
921	13564	15860
922	13580	15846
923	13594	15830
924	13608	15815
925	13623	15800
926	13637	15785
927	13652	15770
928	13666	15755
929	13681	15740
930	13696	15726
931	13710	15711
932	13726	15698
933	13742	15685
934	13757	15670
935	13773	15656
936	13789	15644
937	13805	15630
938	13821	15616
939	13838	15605
940	13853	15590
941	13868	15576
942	13884	15563
943	13900	15549
944	13914	15534
945	13929	15519
946	13943	15503
947	13957	15488
948	13971	15473
949	13986	15458
950	14000	15443
951	14015	15428
952	14030	15414
953	14044	15399
954	14059	15384
955	14075	15371
956	14089	15355
957	14102	15338
958	14116	15323
959	14130	15308
960	14144	15292
961	14159	15278
962	14174	15264
963	14189	15248
964	14203	15233
965	14218	15218
966	14233	15205
967	14248	15190
968	14264	15177
969	14279	15162
970	14294	15148
971	14309	15134
972	14323	15118
973	14338	15104
974	14353	15089
975	14368	15075
976	14383	15060
977	14399	15046
978	14413	15032
979	14428	15017
980	14443	15002
981	14456	14986
982	14471	14971
983	14485	14956
984	14498	14940
985	14512	14924
986	14526	14909
987	14540	14894
988	14555	14878
989	14569	14863
990	14582	14847
991	14596	14831
992	14610	14816
993	14624	14800
994	14638	14785
995	14652	14770
996	14666	14754
997	14682	14741
998	14697	14727
999	14712	14712
1000	14726	14696
1001	14740	14681
1002	14757	14669
1003	14774	14657
1004	14790	14642
1005	14804	14627
1006	14818	14612
1007	14833	14597
1008	14847	14582
1009	14861	14567
1010	14875	14552
1011	14890	14537
1012	14904	14521
1013	14918	14506
1014	14933	14491
1015	14947	14476
1016	14961	14461
1017	14978	14448
1018	14996	14437
1019	15011	14422
1020	15026	14407
1021	15040	14392
1022	15054	14377
1023	15084	14377
1024	15099	14363
1025	15114	14348
1026	15129	14333
1027	15143	14318
1028	15157	14303
1029	15172	14288
1030	15186	14273
1031	15201	14258
1032	15215	14243
1033	15230	14229
1034	15247	14216
1035	15261	14201
1036	15276	14186
1037	15290	14171
1038	15305	14156
1039	15320	14141
1040	15334	14126
1041	15349	14111
1042	15364	14097
1043	15379	14083
1044	15396	14070
1045	15412	14057
1046	15427	14042
1047	15444	14029
1048	15458	14014
1049	15473	13999
1050	15487	13984
1051	15504	13971
1052	15521	13959
1053	15537	13945
1054	15553	13931
1055	15567	13916
1056	15584	13903
1057	15599	13888
1058	15613	13873
1059	15628	13859
1060	15642	13844
1061	15657	13829
1062	15672	13814
1063	15689	13801
1064	15704	13787
1065	15718	13772
1066	15734	13758
1067	15748	13743
1068	15763	13728
1069	15778	13713
1070	15792	13698
1071	15806	13683
1072	15820	13668
1073	15834	13652
1074	15848	13637
1075	15863	13622
1076	15877	13607
1077	15892	13592
1078	15906	13577
1079	15921	13562
1080	15935	13547
1081	15949	13532
1082	15964	13517
1083	15977	13501
1084	15992	13486
1085	16005	13470
1086	16022	13457
1087	16037	13443
1088	16051	13428
1089	16067	13414
1090	16082	13399
1091	16097	13385
1092	16113	13371
1093	16127	13356
1094	16141	13340
1095	16155	13325
1096	16171	13311
1097	16186	13296
1098	16200	13281
1099	16215	13267
1100	16230	13253
1101	16246	13239
1102	16263	13226
1103	16278	13211
1104	16292	13196
1105	16307	13181
1106	16322	13167
1107	16336	13151
1108	16351	13136
1109	16366	13122
1110	16382	13109
1111	16400	13096
1112	16416	13082
1113	16431	13068
1114	16446	13053
1115	16460	13038
1116	16475	13023
1117	16491	13010
1118	16505	12995
1119	16520	12980
1120	16534	12964
1121	16548	12949
1122	16562	12934
1123	16577	12919
1124	16591	12904
1125	16605	12889
1126	16620	12874
1127	16635	12859
1128	16648	12844
1129	16663	12829
1130	16676	12813
1131	16692	12799
1132	16707	12785
1133	16721	12769
1134	16735	12754
1135	16749	12739
1136	16765	12724
1137	16779	12709
1138	16793	12694
1139	16808	12680
1140	16823	12665
1141	16839	12651
1142	16854	12636
1143	16868	12621
1144	16883	12607
1145	16897	12591
1146	16912	12577
1147	16926	12562
1148	16940	12547
1149	16954	12531
1150	16968	12516
